Upper tier local authorities Code,Upper tier local authorities,Household deprivation (6 categories) Code,Household deprivation (6 categories),Observation
E06000059,Dorset,4,Household is deprived in three dimensions,4136
E06000059,Dorset,5,Household is deprived in four dimensions,291
E06000060,Buckinghamshire,-8,Does not apply,0
E06000060,Buckinghamshire,1,Household is not deprived in any dimension,125932
E06000060,Buckinghamshire,2,Household is deprived in one dimension,68311
E06000060,Buckinghamshire,3,Household is deprived in two dimensions,21635
E06000060,Buckinghamshire,4,Household is deprived in three dimensions,4208
E06000060,Buckinghamshire,5,Household is deprived in four dimensions,242
E06000061,North Northamptonshire,-8,Does not apply,0
E06000061,North Northamptonshire,1,Household is not deprived in any dimension,72737
E06000061,North Northamptonshire,2,Household is deprived in one dimension,50657
E06000061,North Northamptonshire,3,Household is deprived in two dimensions,20356
E06000061,North Northamptonshire,4,Household is deprived in three dimensions,4918
E06000061,North Northamptonshire,5,Household is deprived in four dimensions,248
E06000062,West Northamptonshire,-8,Does not apply,0
E06000062,West Northamptonshire,1,Household is not deprived in any dimension,89483
E06000062,West Northamptonshire,2,Household is deprived in one dimension,57289
E06000062,West Northamptonshire,3,Household is deprived in two dimensions,20930
E06000062,West Northamptonshire,4,Household is deprived in three dimensions,4659
E06000062,West Northamptonshire,5,Household is deprived in four dimensions,280
E08000001,Bolton,-8,Does not apply,0
E08000001,Bolton,1,Household is not deprived in any dimension,51290
E08000001,Bolton,2,Household is deprived in one dimension,40539
E08000001,Bolton,3,Household is deprived in two dimensions,20373
E08000001,Bolton,4,Household is deprived in three dimensions,6244
E08000001,Bolton,5,Household is deprived in four dimensions,343
E08000002,Bury,-8,Does not apply,0
E08000002,Bury,1,Household is not deprived in any dimension,38309
E08000002,Bury,2,Household is deprived in one dimension,27078
E08000002,Bury,3,Household is deprived in two dimensions,11875
E08000002,Bury,4,Household is deprived in three dimensions,3263
E08000002,Bury,5,Household is deprived in four dimensions,170
E08000003,Manchester,-8,Does not apply,0
E08000003,Manchester,1,Household is not deprived in any dimension,93533
E08000003,Manchester,2,Household is deprived in one dimension,70524
E08000003,Manchester,3,Household is deprived in two dimensions,36937
E08000003,Manchester,4,Household is deprived in three dimensions,12983
E08000003,Manchester,5,Household is deprived in four dimensions,752
E08000004,Oldham,-8,Does not apply,0
E08000004,Oldham,1,Household is not deprived in any dimension,38130
E08000004,Oldham,2,Household is deprived in one dimension,32275
E08000004,Oldham,3,Household is deprived in two dimensions,16920
E08000004,Oldham,4,Household is deprived in three dimensions,5520
E08000004,Oldham,5,Household is deprived in four dimensions,292
E08000005,Rochdale,-8,Does not apply,0
E08000005,Rochdale,1,Household is not deprived in any dimension,38481
E08000005,Rochdale,2,Household is deprived in one dimension,30724
E08000005,Rochdale,3,Household is deprived in two dimensions,15621
E08000005,Rochdale,4,Household is deprived in three dimensions,5084
